,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,Cy5,E_covid,Neg Ctrl,,12.7275660251579,NaN
,A02,Cy5,E_covid,Unkn,,13.0388550207423,NaN
,A03,Cy5,E_covid,Unkn,,6.22721779066391,NaN
,A04,Cy5,E_covid,Unkn,,6.71156536879294,NaN
,A05,Cy5,E_covid,Unkn,,6.53456224472272,NaN
,A06,Cy5,E_covid,Unkn,,13.0876331183498,NaN
,A07,Cy5,E_covid,Unkn,,13.2581631910175,NaN
,A08,Cy5,E_covid,Unkn,,6.15704252155824,NaN
,A09,Cy5,E_covid,Unkn,,13.231674505477,NaN
,A10,Cy5,E_covid,Pos Ctrl,,14.4773280884548,NaN
,A11,Cy5,E_covid,Unkn,,14.658832164323,NaN
,A12,Cy5,E_covid,Unkn,,13.2342646527017,NaN
,B01,Cy5,E_covid,Unkn,,13.1003263731425,NaN
,B02,Cy5,E_covid,Unkn,,12.6085686628699,NaN
,B03,Cy5,E_covid,Unkn,,14.2455020269674,NaN
,B04,Cy5,E_covid,Unkn,,14.1118354970966,NaN
,B05,Cy5,E_covid,Unkn,,6.37771896293586,NaN
,B06,Cy5,E_covid,Unkn,,14.9136033489752,NaN
,B07,Cy5,E_covid,Unkn,,6.4721989877465,NaN
,B08,Cy5,E_covid,Unkn,,13.294051467341,NaN
,B09,Cy5,E_covid,Unkn,,14.1962534816508,NaN
,B10,Cy5,E_covid,Unkn,,13.2443666430589,NaN
,B11,Cy5,E_covid,Unkn,,13.3099397712223,NaN
,B12,Cy5,E_covid,Unkn,,12.9297321477624,NaN
,C01,Cy5,E_covid,Unkn,,6.30428606606892,NaN
,C02,Cy5,E_covid,Unkn,,6.02578496382523,NaN
,C03,Cy5,E_covid,Unkn,,15.1155638533761,NaN
,C04,Cy5,E_covid,Unkn,,6.61068002048789,NaN
,C05,Cy5,E_covid,Unkn,,15.1146733363565,NaN
,C06,Cy5,E_covid,Unkn,,11.8582025373724,NaN
,C07,Cy5,E_covid,Unkn,,14.5159178094881,NaN
,C08,Cy5,E_covid,Unkn,,6.9219911457678,NaN
,C09,Cy5,E_covid,Unkn,,14.8407790638988,NaN
,C10,Cy5,E_covid,Unkn,,11.7835666894697,NaN
,C11,Cy5,E_covid,Unkn,,14.8176999791829,NaN
,C12,Cy5,E_covid,Unkn,,6.62847852146041,NaN
,D01,Cy5,E_covid,Unkn,,6.91743564249779,NaN
,D02,Cy5,E_covid,Unkn,,6.23629529149856,NaN
,D03,Cy5,E_covid,Unkn,,14.2010443794071,NaN
,D04,Cy5,E_covid,Unkn,,14.4082547124799,NaN
,D05,Cy5,E_covid,Unkn,,12.6124010216753,NaN
,D06,Cy5,E_covid,Unkn,,14.54197943734,NaN
,D07,Cy5,E_covid,Unkn,,6.95627396733011,NaN
,D08,Cy5,E_covid,Unkn,,6.55017635232275,NaN
,D09,Cy5,E_covid,Unkn,,14.3021840354731,NaN
,D10,Cy5,E_covid,Unkn,,6.92400446773483,NaN
,D11,Cy5,E_covid,Unkn,,13.0582847477362,NaN
,D12,Cy5,E_covid,Unkn,,5.87747010647058,NaN
,E01,Cy5,E_covid,Unkn,,14.7832679366951,NaN
,E02,Cy5,E_covid,Unkn,,5.8632594102523,NaN
,E03,Cy5,E_covid,Unkn,,13.9455006299301,NaN
,E04,Cy5,E_covid,Unkn,,14.3789347426074,NaN
,E05,Cy5,E_covid,Unkn,,14.0936723556012,NaN
,E06,Cy5,E_covid,Unkn,,12.8758724566318,NaN
,E07,Cy5,E_covid,Unkn,,11.6140234035834,NaN
,E08,Cy5,E_covid,Unkn,,14.4536339118387,NaN
,E09,Cy5,E_covid,Unkn,,13.1136166235835,NaN
,E10,Cy5,E_covid,Unkn,,13.1118231894195,NaN
,E11,Cy5,E_covid,Unkn,,11.6520382551041,NaN
,E12,Cy5,E_covid,Unkn,,6.89899944162152,NaN
,F01,Cy5,E_covid,Unkn,,14.5465095894366,NaN
,F02,Cy5,E_covid,Unkn,,14.3474270661923,NaN
,F03,Cy5,E_covid,Unkn,,6.04473551714348,NaN
,F04,Cy5,E_covid,Unkn,,14.2172387313526,NaN
,F05,Cy5,E_covid,Unkn,,12.6246739619953,NaN
,F06,Cy5,E_covid,Unkn,,12.9180561733057,NaN
,F07,Cy5,E_covid,Unkn,,14.2473644087945,NaN
,F08,Cy5,E_covid,Unkn,,14.5754808079165,NaN
,F09,Cy5,E_covid,Unkn,,13.3778707022502,NaN
,F10,Cy5,E_covid,Unkn,,13.1190185153428,NaN
,F11,Cy5,E_covid,Unkn,,13.0087107100903,NaN
,F12,Cy5,E_covid,Unkn,,12.8151844294856,NaN
,G01,Cy5,E_covid,Unkn,,13.3272103164524,NaN
,G02,Cy5,E_covid,Unkn,,13.9465237701816,NaN
,G03,Cy5,E_covid,Unkn,,13.0262799246601,NaN
,G04,Cy5,E_covid,Unkn,,14.1838324784904,NaN
,G05,Cy5,E_covid,Unkn,,14.5907083713516,NaN
,G06,Cy5,E_covid,Unkn,,12.531584181246,NaN
